356 0
536 0
421 0
362 0
352 0
363 0
382 2
223 2
240 2
231 2
320 4
94 4
154 4
180 4
136 4
171 4
184 8
93 8
68 8
42 8
68 8
261 6
85 6
102 6
77 6
51 6
226 5
77 5
94 5
144 5
84 5
187 5
146 5
111 5
120 5
154 5
77 5
128 5
102 5
94 5
137 5
119 5
119 5
77 5
102 5
111 5
119 5
68 5
129 5
111 5
101 5
77 5
120 5
163 5
93 5
102 5
153 5
127 5
60 5
162 5
102 5
128 5
146 5
120 5
120 5
111 5
120 5
127 5
111 5
137 5
103 5
84 5
128 5
68 5
163 5
111 5
103 5
68 5
136 5
154 5
86 5
120 5
94 5
85 5
86 5
415 2
205 2
265 2
188 2
261 4
94 4
145 4
138 4
137 4
154 4
176 8
34 8
43 8
94 8
34 8
288 6
94 6
103 6
102 6
59 6
252 5
120 5
111 5
77 5
86 5
128 5
111 5
111 5
111 5
111 5
103 5
60 5
95 5
398 2
241 2
