236 4
463 4
338 4
189 4
146 4
129 4
163 4
145 4
120 4
163 4
171 4
128 4
146 4
137 4
136 4
162 4
137 4
110 4
120 4
145 4
103 4
171 4
145 4
102 4
111 4
144 4
120 4
93 4
171 4
161 4
144 4
170 4
179 4
154 4
112 4
205 4
111 4
127 4
146 4
119 4
206 4
111 4
145 4
136 4
94 4
128 4
129 4
68 4
154 4
128 4
154 4
145 4
154 4
145 4
137 4
128 4
170 4
188 4
163 4
128 4
153 4
128 4
163 4
85 4
155 4
155 4
155 4
179 4
136 4
162 4
170 4
136 4
128 4
137 4
214 4
162 4
155 4
94 4
119 4
188 4
129 4
172 4
136 4
111 4
146 4
137 4
128 4
154 4
128 4
111 4
77 4
110 4
146 4
129 4
154 4
86 4
129 4
146 4
163 4
94 4
188 4
163 4
171 4
163 4
102 4
111 4
162 4
145 4
137 4
111 4
145 4
146 4
162 4
121 4
128 4
145 4
103 4
111 4
162 4
128 4
